ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,datesyncNPD
090 I,Neptune Energy Norge AS,15.00000,30977789,31123361,25.04.2018,20.02.2019
090 I,Idemitsu Petroleum Norge AS,15.00000,30977789,441,25.04.2018,20.02.2019
090 I,ExxonMobil Exploration and Production Norway AS,25.00000,30977789,2835212,25.04.2018,20.02.2019
090 I,Equinor Energy AS,45.00000,30977789,32011216,17.05.2018,20.02.2019
090 JS,Idemitsu Petroleum Norge AS,40.00000,33309858,441,,20.02.2019
090 JS,Wellesley Petroleum AS,45.00000,33309858,26464257,,20.02.2019
090 JS,Neptune Energy Norge AS,15.00000,33309858,31123361,,20.02.2019
091,Vår Energi AS,7.90000,21532,33360957,11.12.2018,20.02.2019
091,ExxonMobil Exploration and Production Norway AS,33.00000,21532,2835212,30.10.2015,20.02.2019
091,Equinor Energy AS,59.10000,21532,32011216,17.05.2018,20.02.2019
091 D,ExxonMobil Exploration and Production Norway AS,33.00000,22813131,2835212,31.03.2017,20.02.2019
091 D,Vår Energi AS,7.90000,22813131,33360957,11.12.2018,20.02.2019
091 D,Equinor Energy AS,59.10000,22813131,32011216,17.05.2018,20.02.2019
091 E,Vår Energi AS,7.90000,30977957,33360957,11.12.2018,20.02.2019
091 E,ExxonMobil Exploration and Production Norway AS,33.00000,30977957,2835212,,20.02.2019
091 E,Equinor Energy AS,59.10000,30977957,32011216,17.05.2018,20.02.2019
092,ExxonMobil Exploration and Production Norway AS,40.00000,21540,2835212,30.10.2015,20.02.2019
092,Equinor Energy AS,37.45000,21540,32011216,17.05.2018,20.02.2019
092,Vår Energi AS,14.90000,21540,33360957,11.12.2018,20.02.2019
092,Repsol Exploracion S.A.,7.65000,21540,5072554,01.02.2019,20.02.2019
093,Petoro AS,47.88000,21548,1626839,,20.02.2019
093,OKEA AS,44.56000,21548,27432899,04.12.2018,20.02.2019
093,Neptune Energy Norge AS,7.56000,21548,31123361,08.12.2018,20.02.2019
093 B,Neptune Energy Norge AS,7.56000,17654585,31123361,08.12.2018,20.02.2019
093 B,Petoro AS,47.88000,17654585,1626839,04.05.2018,20.02.2019
093 B,OKEA AS,44.56000,17654585,27432899,04.12.2018,20.02.2019
093 C,Petoro AS,47.88000,22813180,1626839,31.03.2017,20.02.2019
093 C,Neptune Energy Norge AS,7.56000,22813180,31123361,08.12.2018,20.02.2019
093 C,OKEA AS,44.56000,22813180,27432899,04.12.2018,20.02.2019
093 D,Petoro AS,47.88000,24214599,1626839,10.04.2014,20.02.2019
093 D,Neptune Energy Norge AS,7.56000,24214599,31123361,08.12.2018,20.02.2019
093 D,OKEA AS,44.56000,24214599,27432899,04.12.2018,20.02.2019
094,Petoro AS,14.95000,21556,1626839,,20.02.2019
094,Total E&P Norge AS,9.80000,21556,2410708,,20.02.2019
094,Vår Energi AS,19.60000,21556,33360957,11.12.2018,20.02.2019
094,ExxonMobil Exploration and Production Norway AS,14.70000,21556,2835212,30.10.2015,20.02.2019
094,Equinor Energy AS,40.95000,21556,32011216,17.05.2018,20.02.2019
094 B,ExxonMobil Exploration and Production Norway AS,7.24000,2092082,2835212,30.10.2015,20.02.2019
094 B,Total E&P Norge AS,7.68000,2092082,2410708,,20.02.2019
094 B,Vår Energi AS,14.82000,2092082,33360957,03.01.2019,20.02.2019
094 B,Petoro AS,35.69000,2092082,1626839,03.01.2019,20.02.2019
094 B,Equinor Energy AS,34.57000,2092082,32011216,17.05.2018,20.02.2019
095,Petoro AS,59.00000,21564,1626839,,20.02.2019
095,ConocoPhillips Skandinavia AS,26.00000,21564,2410696,,20.02.2019
095,Vår Energi AS,5.00000,21564,33360957,11.12.2018,20.02.2019
095,Equinor Energy AS,10.00000,21564,32011216,17.05.2018,20.02.2019
097,Petoro AS,30.00000,21580,1626839,,20.02.2019
097,Equinor Energy AS,48.00000,21580,32011216,17.05.2018,20.02.2019
097,DEA Norge AS,10.00000,21580,26309819,21.03.2015,20.02.2019
097,Neptune Energy Norge AS,12.00000,21580,31123361,,20.02.2019
