prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
104 B,TFO2011,North sea,ACTIVE,NO,03.02.2012,01.03.2031,37.587,37.587,PRODUCTION,21568959,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21568959,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21568959,17.05.2018,18.05.2018,20.02.2019
105,9,Norwegian sea,INACTIVE,NO,01.03.1985,01.03.1991,444.465,0.000,,21644,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21644,,10.03.2018,10.03.2018,20.02.2019
106,9,Norwegian sea,INACTIVE,NO,01.03.1985,31.12.1993,444.465,0.000,,21652,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21652,,10.03.2018,10.03.2018,20.02.2019
107,9,Norwegian sea,ACTIVE,NO,01.03.1985,10.04.2034,448.529,70.501,PRODUCTION,21660,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21660,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21660,08.12.2018,08.12.2018,20.02.2019
107 B,TFO2008,Norwegian sea,ACTIVE,NO,23.01.2009,23.01.2019,11.949,11.949,,5107376,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5107376,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=5107376,23.01.2019,23.01.2019,20.02.2019
107 C,TFO2008,Norwegian sea,ACTIVE,NO,23.01.2009,23.01.2019,20.965,20.965,,5115394,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5115394,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=5115394,23.01.2019,08.02.2019,20.02.2019
107 D,9,Norwegian sea,ACTIVE,NO,31.10.2011,01.03.2021,26.858,26.858,PRODUCTION,21124705,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21124705,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21124705,11.12.2018,11.12.2018,20.02.2019
108,9,Barents sea,INACTIVE,NO,01.03.1985,31.12.1996,323.030,0.000,,21668,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21668,,10.03.2018,10.03.2018,20.02.2019
109,9,Barents sea,INACTIVE,NO,01.03.1985,31.12.2000,646.061,0.000,,21676,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21676,,29.04.2016,29.04.2016,20.02.2019
110,9,Barents sea,ACTIVE,NO,01.03.1985,01.10.2035,654.644,103.865,PRODUCTION,21684,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21684,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21684,17.05.2018,18.05.2018,20.02.2019
110 B,TFO2004,Barents sea,ACTIVE,NO,17.12.2004,17.12.2019,1316.830,108.013,PRODUCTION,3001885,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3001885,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=3001885,17.05.2018,06.02.2019,20.02.2019
110 C,19,Barents sea,INACTIVE,NO,28.04.2006,17.12.2014,54.601,0.000,,3986340,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3986340,,01.08.2016,01.08.2016,20.02.2019
111,9,Barents sea,INACTIVE,NO,01.03.1985,31.12.1994,323.030,0.000,,21692,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21692,,10.03.2018,10.03.2018,20.02.2019
